data,eh_feriado,tipo_feriado,descricao,perfil_dano
2026-05-18,1,MUNICIPAL,,Leve
2026-05-19,1,MUNICIPAL,,Leve
2026-05-20,1,MUNICIPAL,Feriado Municipal,Leve
2026-05-21,1,MUNICIPAL,,Leve
2026-05-22,1,MUNICIPAL,Feriado Municipal,Leve
2026-05-23,1,MUNICIPAL,,Leve
2026-05-24,1,MUNICIPAL,Feriado Municipal,Leve
2026-05-25,1,MUNICIPAL,,Leve
2026-05-26,1,MUNICIPAL,,Leve
2026-05-27,1,MUNICIPAL,,Leve
2026-05-28,1,MUNICIPAL,,Leve
2026-05-29,1,MUNICIPAL,,Leve
2026-05-30,1,MUNICIPAL,Feriado Municipal,Leve
2026-05-31,1,MUNICIPAL,Feriado Municipal,Leve
2026-06-01,1,MUNICIPAL,,Leve
2026-06-02,1,MUNICIPAL,,Leve
2026-06-03,1,FACULTATIVO,"Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.",Moderado
2026-06-04,1,MUNICIPAL,,Leve
2026-06-05,1,MUNICIPAL,,Leve
2026-06-06,1,MUNICIPAL,Feriado Municipal,Leve
2026-06-07,1,MUNICIPAL,,Leve
2026-06-08,1,MUNICIPAL,,Leve
2026-06-09,1,MUNICIPAL,,Leve
2026-06-10,1,MUNICIPAL,,Leve
2026-06-11,1,MUNICIPAL,Aniversário da Cidade,Leve
2026-06-12,1,MUNICIPAL,Feriado Municipal,Leve
2026-06-13,1,MUNICIPAL,,Leve
2026-06-14,1,MUNICIPAL,,Leve
2026-06-15,1,ESTADUAL,"De acordo com a Lei Estadual nº 14, de 02 de setembro de 1964",Moderado
2026-06-16,1,MUNICIPAL,Feriado Municipal,Leve
