tipo_feriado,parte_veiculo,pct_ocorrencia,perfil_dano
NACIONAL,CAIXA_DE_RODA,100.0,Severo
ESTADUAL,PARACHOQUE,,Moderado
ESTADUAL,PORTA,,Moderado
ESTADUAL,CURVAO,,Moderado
ESTADUAL,GRADE,,Moderado
ESTADUAL,LATERAL,,Moderado
ESTADUAL,CABINE,,Moderado
FACULTATIVO,PARACHOQUE,,Moderado
FACULTATIVO,PORTA,,Moderado
FACULTATIVO,CURVAO,,Moderado
FACULTATIVO,GRADE,,Moderado
FACULTATIVO,LATERAL,,Moderado
FACULTATIVO,CABINE,,Moderado
MUNICIPAL,PARACHOQUE,31.2,Leve
MUNICIPAL,PAINEL,25.0,Leve
MUNICIPAL,PORTA,18.8,Leve
MUNICIPAL,GRADE,12.5,Leve
MUNICIPAL,CURVAO,6.2,Leve
MUNICIPAL,CAIXA_DE_RODA,6.2,Leve
