mes_analise,ano_analise,atraso_medio_com_feriado,atraso_medio_sem_feriado,percentual_os_com_atraso,margem_dias_seguranca
1,2021,0.0,1.25,25.0,1.6666666666666667
3,2021,0.0,0.0,0.0,0.0
4,2021,0.0,4.0,100.0,5.333333333333333
5,2021,0.0,0.0,0.0,0.0
6,2021,0.0,6.0,100.0,8.0
7,2021,0.0,0.0,0.0,0.0
9,2021,0.0,0.0,0.0,0.0
10,2021,0.0,4.0,100.0,5.333333333333333
11,2021,3.5,4.625,50.0,10.833333333333334
12,2021,0.0,0.0,0.0,0.0
3,2026,0.0,0.5,50.0,0.6666666666666666
4,2026,0.0,1.0,100.0,1.3333333333333333
