ano,mes,Tipo de Feriado,tmp_medio,tmp_feriado,delta
2021,1,Feriado Estadual,2.0,8.0,6.0
2021,1,Feriado Municipal,2.0,3.75,1.75
2021,3,Feriado Estadual,2.0,3.5,1.5
2021,3,Feriado Municipal,2.0,3.25,1.25
2021,3,Ponto Facultativo,2.0,3.0,1.0
2021,4,Feriado Municipal,2.0,7.0,5.0
2021,4,Feriado Nacional,2.0,7.0,5.0
2021,4,Ponto Facultativo,2.0,7.0,5.0
2021,5,Feriado Estadual,2.0,4.0,2.0
2021,5,Feriado Municipal,2.0,3.5,1.5
2021,5,Feriado Nacional,2.0,4.0,2.0
2021,6,Feriado Municipal,2.0,7.0,5.0
2021,6,Ponto Facultativo,2.0,7.0,5.0
2021,7,Feriado Estadual,2.0,3.0,1.0
2021,7,Feriado Municipal,2.0,3.2,1.2
2021,7,Ponto Facultativo,2.0,3.0,1.0
2021,9,Feriado Estadual,2.0,3.33,1.33
2021,9,Feriado Municipal,2.0,3.25,1.25
2021,11,Feriado Estadual,2.0,8.5,6.5
2021,11,Feriado Municipal,2.0,7.45,5.45
2021,11,Feriado Nacional,2.0,7.86,5.86
2021,11,Ponto Facultativo,2.0,8.2,6.2
2021,12,Feriado Estadual,2.0,2.0,0.0
2021,12,Feriado Municipal,2.0,2.67,0.67
