id_ordem_servico,valor_total,valor_total_servicos,valor_total_produtos,data_saida_prevista,data_saida_efetiva,data_atualizacao,status,seguradora,nf_realizada,pagt_realizado,ativo,data_entrada_prevista,data_entrada_efetiva,id_registro_servico,fk_ordem_servico,preco_cobrado,parte_veiculo,lado_veiculo,tipo_servico,cor,especificacao_servico,tipo_pintura
43,1570.0,1570.0,0.0,2021-01-12,2021-01-12,2026-05-17,FINALIZADO,1,1,1,1,2021-01-09,2021-01-09,138,43,650.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperação de parachoque com massa,NAO_APLICAVEL
43,1570.0,1570.0,0.0,2021-01-12,2021-01-12,2026-05-17,FINALIZADO,1,1,1,1,2021-01-09,2021-01-09,139,43,920.0,PARACHOQUE,DIANTEIRO,PINTURA,Branco,Pintura completa do parachoque,COMPLETA
44,1300.0,1300.0,0.0,2021-01-16,2021-01-16,2026-05-17,FINALIZADO,0,0,1,1,2021-01-14,2021-01-14,140,44,520.0,PORTA,DIREITO,FUNILARIA,Prata,Reparo lateral direito,NAO_APLICAVEL
44,1300.0,1300.0,0.0,2021-01-16,2021-01-16,2026-05-17,FINALIZADO,0,0,1,1,2021-01-14,2021-01-14,141,44,780.0,PORTA,DIREITO,PINTURA,Prata,Pintura parcial porta dianteira,PARCIAL
45,1330.0,1330.0,0.0,2021-01-19,2021-01-19,2026-05-17,FINALIZADO,1,1,0,1,2021-01-17,2021-01-17,142,45,890.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Cinza,Recuperação da caixa de roda traseira,NAO_APLICAVEL
45,1330.0,1330.0,0.0,2021-01-19,2021-01-19,2026-05-17,FINALIZADO,1,1,0,1,2021-01-17,2021-01-17,143,45,440.0,PAINEL,COMPLETO,MECANICA,,Ajuste de painéis elétricos,NAO_APLICAVEL
48,1470.0,1470.0,0.0,2021-03-08,2021-03-07,2026-05-17,FINALIZADO,0,1,1,1,2021-03-03,2021-03-03,145,48,620.0,PARACHOQUE,DIANTEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em parachoque frontal,NAO_APLICAVEL
48,1470.0,1470.0,0.0,2021-03-08,2021-03-07,2026-05-17,FINALIZADO,0,1,1,1,2021-03-03,2021-03-03,146,48,850.0,PARACHOQUE,DIANTEIRO_ESQUERDO,PINTURA,Azul,Pintura completa frontal,COMPLETA
49,910.0,910.0,0.0,2021-03-11,2021-03-11,2026-05-17,FINALIZADO,1,0,0,1,2021-03-08,2021-03-08,147,49,540.0,PORTA,TRASEIRO_DIREITO,PINTURA,Vermelho,Pintura parcial porta traseira,PARCIAL
49,910.0,910.0,0.0,2021-03-11,2021-03-11,2026-05-17,FINALIZADO,1,0,0,1,2021-03-08,2021-03-08,148,49,370.0,SAIA,DIREITO,OUTROS,Vermelho,Selante e reforço de fixação,NAO_APLICAVEL
50,1850.0,1850.0,0.0,2021-03-15,2021-03-15,2026-05-17,FINALIZADO,1,1,1,1,2021-03-12,2021-03-12,149,50,750.0,PARACHOQUE,TRASEIRO_DIREITO,FUNILARIA,Preto,Recuperação e alinhamento traseiro,NAO_APLICAVEL
50,1850.0,1850.0,0.0,2021-03-15,2021-03-15,2026-05-17,FINALIZADO,1,1,1,1,2021-03-12,2021-03-12,150,50,820.0,PARACHOQUE,TRASEIRO_DIREITO,PINTURA,Preto,Pintura completa traseira,COMPLETA
50,1850.0,1850.0,0.0,2021-03-15,2021-03-15,2026-05-17,FINALIZADO,1,1,1,1,2021-03-12,2021-03-12,151,50,280.0,PAINEL,COMPLETO,MECANICA,,Ajuste de sensores e chicote,NAO_APLICAVEL
53,1420.0,1420.0,0.0,2021-03-29,2021-03-29,2026-05-17,FINALIZADO,0,1,1,1,2021-03-26,2021-03-26,153,53,900.0,PORTA,DIANTEIRO_ESQUERDO,PINTURA,Branco,Pintura completa porta dianteira,COMPLETA
53,1420.0,1420.0,0.0,2021-03-29,2021-03-29,2026-05-17,FINALIZADO,0,1,1,1,2021-03-26,2021-03-26,154,53,520.0,GRADE,DIANTEIRO,FUNILARIA,Branco,Troca de grade frontal,NAO_APLICAVEL
54,1720.0,1720.0,0.0,2021-05-06,2021-05-05,2026-05-17,FINALIZADO,1,1,1,1,2021-05-01,2021-05-01,155,54,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Prata,Recuperação frontal com reforço,NAO_APLICAVEL
54,1720.0,1720.0,0.0,2021-05-06,2021-05-05,2026-05-17,FINALIZADO,1,1,1,1,2021-05-01,2021-05-01,156,54,940.0,PARACHOQUE,DIANTEIRO,PINTURA,Prata,Pintura completa do parachoque,COMPLETA
55,1040.0,1040.0,0.0,2021-05-09,2021-05-09,2026-05-17,FINALIZADO,0,0,1,1,2021-05-06,2021-05-06,157,55,610.0,PORTA,TRASEIRO_ESQUERDO,PINTURA,Azul,Pintura parcial porta traseira,PARCIAL
55,1040.0,1040.0,0.0,2021-05-09,2021-05-09,2026-05-17,FINALIZADO,0,0,1,1,2021-05-06,2021-05-06,158,55,430.0,PAINEL,COMPLETO,MECANICA,,Revisão elétrica completa,NAO_APLICAVEL
57,1370.0,1370.0,0.0,2021-05-17,2021-05-17,2026-05-17,FINALIZADO,1,1,0,1,2021-05-13,2021-05-13,159,57,520.0,SAIA,ESQUERDO,OUTROS,Branco,Selante e acabamento lateral,NAO_APLICAVEL
57,1370.0,1370.0,0.0,2021-05-17,2021-05-17,2026-05-17,FINALIZADO,1,1,0,1,2021-05-13,2021-05-13,160,57,850.0,CAIXA_DE_RODA,TRASEIRO_DIREITO,PINTURA,Branco,Pintura parcial caixa de roda,PARCIAL
59,1590.0,1590.0,0.0,2021-05-26,2021-05-26,2026-05-17,FINALIZADO,0,1,1,1,2021-05-23,2021-05-23,161,59,670.0,PARACHOQUE,TRASEIRO_ESQUERDO,FUNILARIA,Vermelho,Reparo traseiro esquerdo,NAO_APLICAVEL
59,1590.0,1590.0,0.0,2021-05-26,2021-05-26,2026-05-17,FINALIZADO,0,1,1,1,2021-05-23,2021-05-23,162,59,920.0,PARACHOQUE,TRASEIRO_ESQUERDO,PINTURA,Vermelho,Pintura completa traseira,COMPLETA
61,1860.0,1860.0,0.0,2021-07-04,2021-07-03,2026-05-17,FINALIZADO,1,1,1,1,2021-06-30,2021-06-30,165,61,890.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Azul,Recuperação frontal com alinhamento,NAO_APLICAVEL
