id_ordem_servico,id_registro_servico,fk_ordem_servico,preco_cobrado,parte_veiculo,lado_veiculo,tipo_servico,cor,especificacao_servico,tipo_pintura,ano,mes,dia,semana
100,217,100,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,1,9,1
101,218,101,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,1,13,2
102,219,102,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,1,16,2
103,220,103,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,1,22,3
104,221,104,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,1,24,3
105,222,105,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,1,30,4
106,223,106,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,2,5,5
107,224,107,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,2,13,6
108,225,108,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,2,20,7
109,226,109,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,3,4,9
110,227,110,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,3,12,10
111,228,111,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,3,19,11
112,229,112,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,4,18,15
113,230,113,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,4,21,16
114,231,114,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,4,24,16
115,232,115,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,4,26,16
116,233,116,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,5,4,18
117,234,117,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,5,8,18
118,235,118,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,5,15,19
119,236,119,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,5,23,20
120,237,120,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,6,10,23
121,238,121,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,6,14,23
122,239,122,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,6,20,24
123,240,123,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,6,24,25
124,241,124,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,6,29,26
125,242,125,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,7,3,26
126,243,126,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,7,4,26
127,244,127,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,7,11,27
128,245,128,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,7,18,28
129,246,129,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,8,6,31
130,247,130,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,8,13,32
131,248,131,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,8,21,33
132,249,132,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,9,7,36
133,250,133,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,9,10,36
